Symbol;Name;Symbol2;Currency
XSSX;Xtrackers Euro Stoxx 50 Short Daily Swap UCITS ETF;XSSX;GBP
LIME;ETFS 2X Daily Long Industrial;LIME;USD
XMXD;Xtrackers MSCI EM Europe, Middle East & Africa Swap UCITS ETF;XMXD;USD
XAD2;Xtrackers Physical Silver EUR Hedged ETC;OXA2;EUR
GBCH;ETFS Long CHF Short GBP;GBCH;GBP
U10G;Lyxor iBoxx $ Treasuries 10Y+ DR UCITS ETF;U10G;GBP
UIQC;UBS ETFs plc - HFRX Global Hedge Fund Index SF UCITS ETF;0Y26;EUR
XCS3;Xtrackers MSCI Malaysia UCITS ETF;XCS3;USD
XMEX;Xtrackers MSCI Mexico UCITS ETF;XMEX;GBP
ETSYU;UBS ETF-Factor MSCI EMU Total Shareholder Yield UCITS ETF;0HD7;USD
CHNP;CSOP Source FTSE China A50 UCITS ETF;CHNP;GBP
VHYD;Vanguard FTSE All-World High Dividend Yield UCITS ETF;VHYD;USD
HPRD;HSBC FTSE EPRA/NAREIT Developed UCITS ETF;HPRD;USD
XDND;Xtrackers MSCI North America High Dividend Yield UCITS ETF;XDND;GBP
